cityCode,cityName,tags,icon,pic1,pic2,pic3,discripition
BJS,北京,文艺-舒适-刺激-邂逅,http://ow0ttg3fo.bkt.clouddn.com/beijing_icon.png,http://ow0ttg3fo.bkt.clouddn.com/beijing_1.jpg,http://ow0ttg3fo.bkt.clouddn.com/beijing_2.jpg,http://ow0ttg3fo.bkt.clouddn.com/beijing_3.jpg,        北京是一个古典与现代相结合的城市，拥有深厚的文化底蕴。景色以宏伟壮观见长，旅游资源十分丰富。作为首都，交通、购物、饮食都很方便，尤其是著名的北京烤鸭，简直令各地时刻合不上嘴，迈不开腿。
CTU,成都,文艺-舒适-刺激-邂逅,http://ow0ttg3fo.bkt.clouddn.com/chengdu_icon.png,http://ow0ttg3fo.bkt.clouddn.com/chengdu_1.jpg,http://ow0ttg3fo.bkt.clouddn.com/chengdu_2.jpg,http://ow0ttg3fo.bkt.clouddn.com/chengdu_3.jpg,        成都是一座十分悠闲的城市，生活节奏慢，周边有很多好玩的景点。比如宽窄巷子，古色古香，十里飘香。说到成都的美食，实在是让人流连忘返，可以边走边吃，还不用担心发胖。
CKG,重庆,文艺-舒适-探险-刺激-邂逅,http://ow0ttg3fo.bkt.clouddn.com/chongqing_icon.png,http://ow0ttg3fo.bkt.clouddn.com/chongqing_1.jpg,http://ow0ttg3fo.bkt.clouddn.com/chongqing_2.jpg,http://ow0ttg3fo.bkt.clouddn.com/chongqing_3.jpg,        重庆市一座风景秀美的城市。它依山建筑是“山城”，它云轻雾重是“雾都”，它夏长酷热是“火炉”，重庆小吃挺不错，吃货大爱，美食美景美人。
DLU,大理,文艺-舒适-探险-邂逅,http://ow0ttg3fo.bkt.clouddn.com/dali_icon.png,http://ow0ttg3fo.bkt.clouddn.com/dali_1.jpg,http://ow0ttg3fo.bkt.clouddn.com/dali_2.jpg,http://ow0ttg3fo.bkt.clouddn.com/dali_3.jpg,        风花雪月的大理相比丽江更安静，民风更淳朴，适合长住。崇圣寺三塔特别漂亮，苍山洱海也是很好的自然景观。大理有很多白族特色风格的建筑，历史悠久。小吃很好吃，推荐喜洲粑粑。
KWL,桂林,文艺-舒适-探险-邂逅,http://ow0ttg3fo.bkt.clouddn.com/guilin_icon.png,http://ow0ttg3fo.bkt.clouddn.com/guilin_1.jpg,http://ow0ttg3fo.bkt.clouddn.com/guilin_2.jpg,http://ow0ttg3fo.bkt.clouddn.com/guilin_3.jpg,        正所谓，桂林山水甲天下。漓江两岸风光秀丽，空气十分清新，泛舟漓江看十里画廊非常的惬意。自然风光之外，桂林还有很多美食，推荐桂林米粉。
HGH,杭州,文艺-舒适-探险-邂逅,http://ow0ttg3fo.bkt.clouddn.com/hangzhou_icon.png,http://ow0ttg3fo.bkt.clouddn.com/hangzhou_1.jpg,http://ow0ttg3fo.bkt.clouddn.com/hangzhou_2.jpg,http://ow0ttg3fo.bkt.clouddn.com/hangzhou_3.jpg,        杭州，人间天堂，名不虚传。正如《太平歌词》中唱到的，那杭州美景盖世无双，西湖岸奇花异草四季清香。整个城市的绿化很好，空气很清新。杭州的生活节奏不快，租借一辆自行车在市区骑行也很不错。
HET,呼和浩特,文艺-舒适-探险,http://ow0ttg3fo.bkt.clouddn.com/huhehaote_icon.png,http://ow0ttg3fo.bkt.clouddn.com/huhehaote_1.jpg,http://ow0ttg3fo.bkt.clouddn.com/huhehaote_2.jpg,http://ow0ttg3fo.bkt.clouddn.com/huhehaote_3.jpg,        呼和浩特是一座具有鲜明民族特点和众多名胜古迹的塞外名城，蒙语“青城”。独特美妙的自然风光，丰富多彩的民族文化，历史积淀深厚的古迹名胜，绚丽多姿的蒙古歌舞，精彩纷呈的蒙古式摔跤，这里的一切都让人心旷神怡，流连忘返。
KMG,昆明,文艺-舒适-探险-邂逅,http://ow0ttg3fo.bkt.clouddn.com/kunming_icon.png,http://ow0ttg3fo.bkt.clouddn.com/kunming_1.jpg,http://ow0ttg3fo.bkt.clouddn.com/kunming_2.jpg,http://ow0ttg3fo.bkt.clouddn.com/kunming_3.jpg,        昆明，也叫“春城”，是一座生活节奏缓慢，干净整洁的城市。石林雄伟，滇池的海鸥很美。除了美丽的风景外，这里聚集了多个少数民族，让游客能感受到淳朴的民族文化。
LZJ,丽江,文艺-舒适-探险-刺激-邂逅,http://ow0ttg3fo.bkt.clouddn.com/lijiang_icon.png,http://ow0ttg3fo.bkt.clouddn.com/lijiang_1.jpg,http://ow0ttg3fo.bkt.clouddn.com/lijiang_2.jpg,http://ow0ttg3fo.bkt.clouddn.com/lijiang_3.jpg,        丽江，在这里既能够感受到纳西族的古朴淳风，又富有现代商业气息，是体验慢节奏的理想之地。也许，一场不期而遇的美丽邂逅正在焦急等待着你呢。
SHA,上海,文艺-舒适-探险-刺激-邂逅,http://ow0ttg3fo.bkt.clouddn.com/shanghai_icon.png,http://ow0ttg3fo.bkt.clouddn.com/shanghai_1.jpg,http://ow0ttg3fo.bkt.clouddn.com/shanghai_2.jpg,http://ow0ttg3fo.bkt.clouddn.com/shanghai_3.jpg,        现代化的大都市，外滩的夜景值得一看。商业发达，交通便利。美食方面推荐浓油赤酱的本帮菜，也可以去城隍庙品尝地道的上海小吃。上海这座城市的节奏很快，东西也比较贵。
